Location ID,Name,Rating,No of reviews,Default URL,Image URL,Description
1109767,Le Train Bleu,4.0,7154,https://www.tripadvisor.com/Restaurant_Review-g187147-d1109767-Reviews-Le_Train_Bleu-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/a1/14/8d/le-train-bleu.jpg?w={width}&h={height}&s=1,"Listed historical monument inside the station at the first floor, the restaurant ""Le Train Bleu"" is opened every day for lunch and dinner. Breakfast and te time are served in the bar lounges all the day."
742400,La Jacobine,4.5,2818,https://www.tripadvisor.com/Restaurant_Review-g187147-d742400-Reviews-La_Jacobine-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/22/7b/76/la-jacobine.jpg?w={width}&h={height}&s=1,
719402,Le Relais De L'entrecôte,4.0,3483,https://www.tripadvisor.com/Restaurant_Review-g187147-d719402-Reviews-Le_Relais_De_L_entrecote-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/82/d1/aa/nos-tables-recouvertes.jpg?w={width}&h={height}&s=1,
714938,Le Bouillon Chartier Grands Boulevards,3.5,16946,https://www.tripadvisor.com/Restaurant_Review-g187147-d714938-Reviews-Le_Bouillon_Chartier_Grands_Boulevards-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/51/9c/c2/chartier.jpg?w={width}&h={height}&s=1,
9783452,Boutary Restaurant,5.0,1883,https://www.tripadvisor.com/Restaurant_Review-g187147-d9783452-Reviews-Boutary_Restaurant-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/e3/d1/28/maigre-confit-a-l-huile.jpg?w={width}&h={height}&s=1,"Boutary is a chic and trendy ""boutique bistro"" with traditional French roots but a modern and affordable approach to gastronomic cuisine. High-end festive delicacies prepared by an expert chef and a short but exceptional selection of wines, champagne and vodkas are offered at reasonable prices. Caviar is one of the house's specialities: although not compulsory, we suggest you try a sampling or a small caviar dish to make your experience at Boutary truly unique."
12578918,Pink Mamma,4.0,2701,https://www.tripadvisor.com/Restaurant_Review-g187147-d12578918-Reviews-Pink_Mamma-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f5/40/33/photo3jpg.jpg?w={width}&h={height}&s=1,
714966,Chez Janou,4.0,2581,https://www.tripadvisor.com/Restaurant_Review-g187147-d714966-Reviews-Chez_Janou-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/d3/bc/21/chez-janou.jpg?w={width}&h={height}&s=1,
2013853,114 Faubourg,4.5,1993,https://www.tripadvisor.com/Restaurant_Review-g187147-d2013853-Reviews-114_Faubourg-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-s/0b/41/3a/72/caption.jpg?w={width}&h={height}&s=1,
16846235,Bistrot Instinct,5.0,611,https://www.tripadvisor.com/Restaurant_Review-g187147-d16846235-Reviews-Bistrot_Instinct-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/1b/97/46/bistrot-instinct.jpg?w={width}&h={height}&s=1,
719852,Pur' - Jean-François Rouquette,5.0,1364,https://www.tripadvisor.com/Restaurant_Review-g187147-d719852-Reviews-Pur_Jean_Francois_Rouquette-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/5b/0b/10/overview-with-sacred.jpg?w={width}&h={height}&s=1,"With 1 Michelin star and 4 Gault&Millau toques, the iconic PUR’ restaurant at Park Hyatt Paris-Vendôme emerges from a captivating transformation, blending the visionary designs of artist-architect Hugo Toro with the culinary brilliance of Michelin-starred Chef Jean-François Rouquette.

Designed to reflect the Chef's vision, where the distribution of spaces and the flow of movement would allow him to interact continually with his audience, and host as if at home. Through his cuisine, Jean-François Rouquette aims to never alter his ingredients and to preserve their raw truth. Dining at PUR’, everyone can truly experience the ingredients through accessible and gourmet dishes prepared with utmost finesse."
